product_name,overall_rating,no_ratings,no_reviews,avg_user_rating,rating_discrepancy,rating_discrepancy_pct
HP Victus Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 1...,4.4,"2,388",124,4.19,0.20999999999999996,4.77
Acer Chromebook Plus Google AI Intel Core i3 N305 - (8 GB/256 ...,3.9,182,21,3.7142857142857144,0.1857142857142855,4.76
DELL Inspiron 3520 Intel Core i5 12th Gen 1235U - (8 GB/512 GB...,4.2,"1,103",66,4.0,0.20000000000000018,4.76
Lenovo IP Duet 3 Chrome Qualcomm Snapdragon 7c Gen 2 - (8 GB/1...,4.2,31,5,4.0,0.20000000000000018,4.76
Acer Predator Helios Neo 16 Intel Core i7 14th Gen 14700HX - (...,4.2,26,2,4.0,0.20000000000000018,4.76
HP AMD Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 ...,4.2,24,2,4.0092592592592595,0.19074074074074066,4.54
HP Victus Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Win...,4.4,"2,388",124,4.205607476635514,0.19439252336448654,4.42
HP Laptop 15s Intel Celeron Dual Core Intel Celeron N4500 - (8...,3.7,124,13,3.5384615384615383,0.16153846153846185,4.37
ASUS Expertbook Intel Core i7 12th Gen 1255U - (16 GB/512 GB S...,4.1,126,13,3.923076923076923,0.17692307692307674,4.32
GIGABYTE G Series Intel Core i5 12th Gen 12500H - (16 GB/512 G...,4.7,26,4,4.5,0.20000000000000018,4.26
Infinix X1 Slim Series Intel Core i5 10th Gen 1035G1 - (16 GB/...,4.0,830,124,3.83,0.16999999999999993,4.25
MSI Modern 15 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD...,4.3,156,24,4.125,0.17499999999999982,4.07
MSI Modern 14 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD...,4.3,156,24,4.125,0.17499999999999982,4.07
MSI Modern 14 Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/...,4.3,156,24,4.125,0.17499999999999982,4.07
Acer One 14 AMD Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Win...,4.0,602,62,3.838709677419355,0.16129032258064502,4.03
Acer One 14 AMD Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Win...,4.0,602,62,3.838709677419355,0.16129032258064502,4.03
Acer Aspire 3 Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD...,4.1,467,47,3.9361702127659575,0.16382978723404218,4.0
Acer Aspire 3 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/...,4.1,467,47,3.9361702127659575,0.16382978723404218,4.0
ASUS Vivobook AMD Ryzen 3 Quad Core 7320U - (8 GB/1 TB SSD/Win...,3.9,32,4,3.75,0.1499999999999999,3.85
Acer Swift Go 14 AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB S...,4.2,389,46,4.043478260869565,0.15652173913043477,3.73
Colorful XS Series Intel Core i5 12th Gen 12500H - (16 GB/512 ...,4.5,61,15,4.333333333333333,0.16666666666666696,3.7
Acer Nitro V AMD Ryzen 7 Octa Core 7735HS - (16 GB/512 GB SSD/...,4.3,118,9,4.142857142857143,0.15714285714285658,3.65
HP Pavilion Intel Core Ultra 5 125U - (16 GB/1 TB SSD/Windows ...,4.3,63,7,4.142857142857143,0.15714285714285658,3.65
Infinix ZERO BOOK Series Intel Core i5 12th Gen 12500H - (16 G...,4.1,127,23,3.9565217391304346,0.14347826086956506,3.5
HP 15s AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows ...,4.3,273,33,4.151515151515151,0.14848484848484844,3.45
HP Pavilion Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/W...,4.3,"1,850",136,4.16,0.13999999999999968,3.26
HP 250 G8 Intel Core i3 11th Gen Core™ i3-1115G4 - (8 GB/1 TB ...,4.0,188,23,3.869565217391304,0.1304347826086958,3.26
Acer Aspire 3 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/W...,4.2,655,78,4.064102564102564,0.1358974358974363,3.24
HP 240 G9 Intel Core i3 12th Gen 1215 - (8 GB/512 GB SSD/Windo...,3.9,167,9,3.7777777777777777,0.12222222222222223,3.13
HP Chromebook Intel Celeron Dual Core N4120 - (4 GB/64 GB EMMC...,3.9,"1,638",128,3.78,0.1200000000000001,3.08
Infinix X3 Slim Intel Intel Core i7 12th Gen 1255U - (16 GB/51...,4.2,138,14,4.071428571428571,0.128571428571429,3.06
Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/256 GB SSD...,4.1,677,64,3.984375,0.11562499999999964,2.82
ASUS TUF Gaming A15 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 ...,4.4,299,25,4.28,0.1200000000000001,2.73
Acer One14 Backlit Intel Core i5 11th Gen 1155G7 - (16 GB/512 ...,3.7,"2,518",307,3.6,0.10000000000000009,2.7
HP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11...,4.2,"5,248",272,4.0894308943089435,0.11056910569105671,2.63
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (16 GB/512...,4.2,"5,705",501,4.090909090909091,0.10909090909090935,2.6
Acer Aspire 3 AMD Ryzen 3 Quad Core 7330U - (8 GB/512 GB SSD/W...,4.2,195,31,4.096774193548387,0.10322580645161317,2.46
HP Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Windows 11 Home...,4.1,8,1,4.0,0.09999999999999964,2.44
HP 250 G9 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Wind...,4.1,68,3,4.0,0.09999999999999964,2.44
walker Intel Celeron Dual Core N4020 - (4 GB/128 GB SSD/Window...,3.7,"1,412",188,3.61,0.0900000000000003,2.43
Lenovo IdeaPad Slim 3 Backlit Intel Core i5 12th Gen 12450H - ...,4.3,477,30,4.2,0.09999999999999964,2.33
HP 15s Intel Core i5 11th Gen 1155G7 - (16 GB/512 GB SSD/Windo...,4.3,"3,895",275,4.2,0.09999999999999964,2.33
HP Victus Intel Core i5 12th Gen 12450H - (16 GB/1 TB SSD/Wind...,4.3,200,10,4.2,0.09999999999999964,2.33
MSI Katana A15 AI AMD Ryzen 7 Octa Core 8845HS - (16 GB/512 GB...,4.3,41,5,4.2,0.09999999999999964,2.33
ASUS TUF Gaming F17 - AI Powered Gaming Intel Core i5 11th Gen...,4.3,"6,873",559,4.202334630350195,0.0976653696498051,2.27
HP Intel Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home/...,4.6,39,2,4.5,0.09999999999999964,2.17
Acer Aspire 3 Backlit Intel Core i3 12th Gen 1215U - (8 GB/512...,4.2,185,18,4.111111111111111,0.08888888888888946,2.12
"Acer Aspire 3 with Backlit Keyboard, Intel Core i5 12th Gen 12...",4.1,"2,121",148,4.02,0.08000000000000007,1.95
Acer Aspire 3 Backlit Intel Core i5 12th Gen 1235U - (8 GB/512...,4.1,"2,121",148,4.02,0.08000000000000007,1.95
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB...,4.2,"2,045",133,4.12,0.08000000000000007,1.9
Lenovo V15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/DOS)...,4.3,75,9,4.222222222222222,0.0777777777777775,1.81
Ultimus PRO Intel Celeron Dual Core Celeron - (4 GB/128 GB/128...,3.6,48,13,3.5384615384615383,0.061538461538461764,1.71
Lenovo AMD Ryzen 3 Quad Core 7330U - (8 GB/512 GB SSD/Windows ...,4.1,237,31,4.03125,0.06874999999999964,1.68
Lenovo IdeaPad Slim 5 2.5K IPS Intel Core i5 13th Gen 13500H -...,4.1,494,60,4.033333333333333,0.06666666666666643,1.63
ASUS Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows ...,4.3,"3,552",263,4.23,0.0699999999999994,1.63
HP AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 H...,4.2,"7,865",584,4.136363636363637,0.06363636363636349,1.52
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SS...,4.2,"2,277",181,4.136666666666667,0.06333333333333346,1.51
MSI Modern 14 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/...,4.3,"1,493",164,4.2407407407407405,0.059259259259259345,1.38
Lenovo LOQ Intel Core i7 13th Gen 13650HX - (24 GB/512 GB SSD/...,4.2,154,14,4.142857142857143,0.05714285714285694,1.36
